"Index" "date" "AAPL.Open" "AAPL.High" "AAPL.Low" "AAPL.Close" "AAPL.Volume" "AAPL.Adjusted" "macd" "signal"
1381 2012-06-25 577.299995 579.800026 570.37001 570.77002 76095600 75.512 0.429380531182555 0.224156944625223
1382 2012-06-26 571.329979 574.489998 567.329994 572.030022 69134100 75.678696 0.312066719785431 0.241738899657265
1383 2012-06-27 575.000023 576.739983 571.920006 574.499985 50749300 76.005469 0.267366165772143 0.24686435288024
1384 2012-06-28 571.670013 574 565.610008 569.04998 70709100 75.284441 0.183162000762893 0.234123882456771
1385 2012-06-29 577.999985 584.000015 574.249992 584.000015 105375200 77.262308 0.202815845210069 0.227862275007431
1386 2012-07-02 584.730019 593.469978 583.600006 592.519997 100023000 78.389489 0.308971790411916 0.244084178088328
1387 2012-07-03 594.879997 600.000008 593.999977 599.409981 60428200 79.301023 0.528192370958158 0.300905816662294
1388 2012-07-05 600.56002 614.339989 599.649986 609.939995 121095800 80.694128 0.770726093329355 0.394869871995706
1389 2012-07-06 607.089996 608.439987 601.580017 605.879982 104732600 80.156994 1.03944778981204 0.523785455558973
1390 2012-07-09 605.299995 613.899979 604.110008 613.889992 94851400 81.216706 1.21195585146974 0.661419534741126
1391 2012-07-10 617.969978 619.869995 605.309982 608.210022 127989400 80.465255 1.50255726019537 0.829647079831975
1392 2012-07-11 606.119987 607.659996 597.220024 604.430016 117330500 79.965166 1.5517413677431 0.9740659374142
1393 2012-07-12 600.240013 603.469994 592.68 598.900009 107010400 79.233555 1.49322431070047 1.07789761207145
1394 2012-07-13 602.949982 607.190025 600.000008 604.970001 77856800 80.036605 1.46639764832641 1.15559761932245
1395 2012-07-16 605.120018 611.61998 605.019989 606.910019 75315100 80.293267 1.45732300723658 1.21594269690527
1396 2012-07-17 610.790001 611.499977 603.149986 606.93998 73406200 80.29723 1.5086743166097 1.27448902084616
1397 2012-07-18 606.590012 608.340012 603.559982 606.260017 63175000 80.207272 1.47528071632519 1.31464735994196
1398 2012-07-19 611.279999 615.349998 605.999985 614.320015 109215400 81.273598 1.49417058908594 1.35055200577076
1399 2012-07-20 613.029999 614.440018 603.700012 604.300026 99367800 79.947969 1.51453981903684 1.38334956842398
1400 2012-07-23 594.399986 605.900009 587.710007 603.830002 121993900 79.885785 1.26661601843765 1.36000285842671
1401 2012-07-24 607.37999 609.680016 598.509987 600.919975 141283100 79.500793 1.2298410366588 1.33397049407313
1402 2012-07-25 574.459984 580.799995 570.000015 574.970009 219328200 76.067652 0.750144199705982 1.2172052351997
1403 2012-07-26 579.760025 580.399986 570.360023 574.88002 101658200 76.055747 0.435043160633719 1.0607728202865
1404 2012-07-27 575.01001 585.830017 571.590012 585.159988 100984100 77.415771 0.11855620000496 0.872329496230194
1405 2012-07-30 590.920013 599.439995 587.820023 595.030014 94785600 78.72156 0.0827728083270696 0.714418158649569
1406 2012-07-31 603.229988 611.699982 602.720016 610.759987 115581900 80.802612 0.219315861939129 0.615397699307481
1407 2012-08-01 615.910011 616.400009 603.000023 606.80999 96125400 80.280033 0.49306030373597 0.590930220193179
1408 2012-08-02 602.840019 610.690025 600.25 607.789986 83039600 80.409685 0.526534395868294 0.578051055328202
1409 2012-08-03 613.630013 617.980019 611.560005 615.70002 86230200 81.45617 0.690175662931147 0.600475976848791
1410 2012-08-06 617.290016 624.870003 615.26001 622.550003 75525800 82.362413 0.85819464989354 0.652019711457741
1411 2012-08-07 622.769981 624.999992 618.039993 620.910019 72611700 82.145445 1.05131575892863 0.731878920951919
